temperature,Tpc,Ppc
403.15,593.9846722090358,3.0388227849372442
438.15,640.4947824806517,2.942336944735341
463.15,678.0359474778563,2.9795911700452185
483.15,700.5091589953104,2.822899095684111
503.15,718.5513083255663,2.590258362936851
523.15,736.9583761217376,2.3922570688891147
543.15,756.5084970472649,2.236466498823135
563.15,777.529865397966,2.1203610169022777
583.15,798.6529915726792,2.0156578886656957
603.15,818.5276898553532,1.901423886181102
623.15,839.2651263866786,1.8081417804247435
