temperature,Tpc,vc,Ppc
403.15,596.2806488721218,461.96851558836045,2.760036937267005
438.15,645.9992112880843,472.39985400266613,2.861359453013667
463.15,683.450985672456,444.73134735577844,3.1886579890262885
483.15,708.4555838219243,481.5468420002636,3.005499539486477
503.15,730.3562560294095,537.7913000461754,2.7176770947856226
523.15,752.4181482834704,596.6970948932089,2.4630536337651963
543.15,775.2126538528823,647.8272538672938,2.2820957523143544
563.15,799.0329270030303,685.9204380008073,2.176809990879262
583.15,823.0711722231237,725.4782797869462,2.075585057041679
603.15,846.1942341843035,773.0171127343277,1.9551619376975904
623.15,870.0402640866254,815.3710619395123,1.86463850099844
