temperature,Tpc,Ppc,vc
403.15,599.7081459542064,3.0992014141277124,421.7806101857387
438.15,645.4522695974666,3.005420004880935,464.88771170426855
463.15,681.7201121587666,3.053236876355639,483.07260174889905
483.15,702.2817135440987,2.8631911790220337,525.9074105268065
503.15,721.89601311431,2.6754544096008157,573.1431870670764
523.15,740.1460823108365,2.4826284852627967,626.9238105802607
543.15,759.3745492504354,2.33419095412363,678.3037034373788
563.15,780.7584284937716,2.2428411614969073,721.4570308854913
583.15,801.2777069928278,2.1462451987276983,768.7850687158854
603.15,821.2330450238289,2.0507223160076844,819.2509047970744
623.15,841.5849610138492,1.9709530309530452,868.4456213633217
