temperature,Tc,Pc
403.15,590.6944830647354,2.694358172930464
438.15,641.2903002905207,2.8367807144128165
463.15,681.6622942429051,3.088655521840268
483.15,706.1488330850101,3.0008053175653733
503.15,726.4313328799374,2.78660761678767
523.15,747.2848637854064,2.616964233389684
543.15,769.406943607481,2.5027421352628916
563.15,793.0447688908042,2.4406714734850437
583.15,816.8386811811754,2.389066039305108
603.15,839.5104872889137,2.31625304618149
623.15,863.03235754338,2.269700882934684
