Temperature,Tpc,Ppc
130,587.969472630702,3.2779170560220794
165,642.3275876017183,3.0393772689241256
190,686.0457177649523,3.0284729400343284
210,710.750690049191,2.874761336426607
230,729.4047465606742,2.672038817428821
250,748.3607215658186,2.51307505922157
270,768.6934053849509,2.3987789211115182
290,790.8749471141805,2.323597622785233
310,813.1098354476226,2.261778620229511
330,833.6138297940879,2.194308281736413
350,855.2077833992361,2.1462365425498517
